name,price,category,sizes,stock,image_filename
Forever 21 Summer Bright Skirt Women,7999,Half Skirts,"XS,S,M,L",9,download (5).jpeg
Topshop Vintage Corduroy Skirt Women,13999,Half Skirts,"XS,S,M,L",5,download (6).jpeg
Urban Outfitters Bohemian Skirt Women,10999,Half Skirts,"XS,S,M,L",7,download (7).jpeg
Nike Side Stripe Skirt Women,11999,Half Skirts,"XS,S,M,L",6,download (8).jpeg
Pull&Bear Casual Knit Skirt Women,9999,Half Skirts,"XS,S,M,L",7,download (9).jpeg
Shein Shimmery Gold Skirt Women,8999,Half Skirts,"XS,S,M,L",8,njz.jpeg
Uniqlo Lightweight Skirt Women,10999,Half Skirts,"XS,S,M,L",6,summer.jpeg
Vogue Embroidered Maxi Skirt Women,16999,Long Skirts,"XS,S,M,L",5,Cest Embroidered Flower BANDING Skirt.jpg
Balenciaga Flowing Black Skirt Women,22999,Long Skirts,"XS,S,M,L",3,Cest Lace Side Pocket Skirt.jpg
Prada Silk Lining Skirt Women,21999,Long Skirts,"XS,S,M,L",4,download (86).jpg
Chanel Pearl Detailed Skirt Women,25999,Long Skirts,"XS,S,M,L",3,download (87).jpg
ASOS Pleated Midi Skirt Women,14999,Long Skirts,"XS,S,M,L",6,download (88).jpg
Zara Urban Elegant Skirt Women,15999,Long Skirts,"XS,S,M,L",7,Every Punching Long Skirt.jpg
H&M Classic Floral Skirt Women,12999,Long Skirts,"XS,S,M,L",7,Lace Floral A-Line Skirt.jpg
Mango Premium Cotton Skirt Women,18999,Long Skirts,"XS,S,M,L",5,SR Cotton French Doll Skirt.jpg
Forever 21 Summer Print Skirt Women,10999,Long Skirts,"XS,S,M,L",8,Tiered Ruffle Midi Skirt.jpg
Topshop Vintage Tiered Skirt Women,19999,Long Skirts,"XS,S,M,L",4,[W CONCEPT].jpg
Vogue Classic Cotton Shirt Women,9999,Shirt,"XS,S,M,L",6,ih.jpeg
Balenciaga Luxury Designer Shirt Women,19999,Shirt,"XS,S,M,L",3,kjd.jpeg
Prada Formal White Shirt Women,16999,Shirt,"XS,S,M,L",4,kla.jpeg
Chanel Elegant Printed Shirt Women,18999,Shirt,"XS,S,M,L",4,mka.jpeg
ASOS Casual Striped Shirt Women,11999,Shirt,"XS,S,M,L",7,nkzj.jpeg
Balenciaga Luxury Logo Sweatshirt Women,21999,Sweaters,"XS,S,M,L",3,gh.jpg
Prada Classic Monogram Sweatshirt Women,19999,Sweaters,"XS,S,M,L",4,plaisir sweatshirts.jpg
Chanel Emblem Sweatshirt Women,23999,Sweaters,"XS,S,M,L",3,Romantic Embroidery Sweatshirt.jpg
ASOS Trendy Graphic Sweatshirt Women,10999,Sweaters,"XS,S,M,L",7,xffgxs.jpg
Zara Urban Modern Sweatshirt Women,11999,Sweaters,"XS,S,M,L",6,zernb.jpg
H&M Cozy Fleece Sweatshirt Women,9999,Sweaters,"XS,S,M,L",8,zf.jpg
Mango Premium Fitted Sweatshirt Women,14999,Sweaters,"XS,S,M,L",5,zgdz.jpg
Forever 21 Vintage Print Sweatshirt Women,8999,Sweaters,"XS,S,M,L",9,zw.jpg
TopShop Designer Hoodie Sweatshirt Women,17999,Sweaters,"XS,S,M,L",4,zwzzbdf.jpg
Vogue Essential Basic Top Women,9999,Tops,"XS,S,M,L",7,download (66).jpg
Balenciaga Luxury Designer Top Women,20999,Tops,"XS,S,M,L",3,topss.jpg
Prada Silk Premium Top Women,17999,Tops,"XS,S,M,L",4,W Concept.jpg
Chanel Elegant Tailored Top Women,19999,Tops,"XS,S,M,L",4,Wool Blend Wide Pants.jpg
ASOS Casual Street Top Women,12999,Tops,"XS,S,M,L",6,zkwl.jpg
Vogue Elegant Black Crop Top Women,5999,Crop Tops,"XS,S,M,L",6,1762691604_download (35).jpeg
Balenciaga Minimal White Crop Top Women,14999,Crop Tops,"XS,S,M,L",4,1762691674_download (36).jpeg
Prada Classic Yellow Crop Top Women,13999,Crop Tops,"XS,S,M,L",5,1762691762_logo t (yellow).jpeg
Chanel Luxe Striped Crop Top Women,16999,Crop Tops,"XS,S,M,L",3,download (62).jpg
ASOS Trendy Pink Crop Top Women,7999,Crop Tops,"XS,S,M,L",8,download (63).jpg
Zara Urban Navy Crop Top Women,8999,Crop Tops,"XS,S,M,L",6,download (64).jpg
H&M Simple Beige Crop Top Women,6999,Crop Tops,"XS,S,M,L",7,download (65).jpg
Mango Bold Red Crop Top Women,9999,Crop Tops,"XS,S,M,L",5,Soccer T-shirt_White.jpg
Uniqlo Modern Print Crop Top Women,5999,Crop Tops,"XS,S,M,L",8,T-shirts en tops - BSK Teen.jpg
Forever 21 Vintage Denim Crop Top Women,4999,Crop Tops,"XS,S,M,L",9,Teen girl t-shirts 2025.jpg
Shein Graphic Crop Top Women,6999,Crop Tops,"XS,S,M,L",6,xrw.jpeg
Topshop Premium Sequin Crop Top Women,12999,Crop Tops,"XS,S,M,L",4,zerxfd.jpg
Urban Outfitters Casual Crop Top Women,7999,Crop Tops,"XS,S,M,L",7,dxgrs.jpeg
Nike Athletic Crop Top Women,11999,Crop Tops,"XS,S,M,L",5,erx.jpg
Pull&Bear Street Crop Top Women,8999,Crop Tops,"XS,S,M,L",6,exxr.jpg
